post_id,title,category,score,num_comments,author,collected_at
47625952,Show HN: I built a frontpage for personal blogs,others,114,45,ramkarthikk,2026-04-03 19:42:35
47625639,TDF ejects its core developers,others,62,40,janvdberg,2026-04-03 19:42:36
47626462,Big-Endian Testing with QEMU,others,8,0,jandeboevrie,2026-04-03 19:42:37
47624731,April 2026 TLDR Setup for Ollama and Gemma 4 26B on a Mac mini,others,123,41,greenstevester,2026-04-03 19:42:37
47616361,Google releases Gemma 4 open models,others,1616,425,jeffmcjunkin,2026-04-03 19:42:38
47624645,Show HN: Apfel – The free AI already on your Mac,technology,356,74,franze,2026-04-03 19:42:39
47567222,Samsung Magician disk utility takes 18 steps and two reboots to uninstall,others,71,18,chalmovsky,2026-04-03 19:42:40
47561426,What Category Theory Teaches Us About DataFrames,technology,73,14,mchav,2026-04-03 19:42:40
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,others,958,427,axelriet,2026-04-03 19:42:41
47625366,United States Code (federal laws) in Git,others,33,9,nickvido,2026-04-03 19:42:42
47561678,"ESP32-S31: Dual-Core RISC-V SoC with Wi-Fi 6, Bluetooth 5.4, and Advanced HMI",others,113,61,topspin,2026-04-03 19:42:44
47626598,Show HN: ctx – an Agentic Development Environment (ADE),others,5,1,luca-ctx,2026-04-03 19:42:44
47560967,A Recipe for Steganogravy,others,12,2,tbrockman,2026-04-03 19:42:45
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,13,2,tosh,2026-04-03 19:42:46
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,others,163,48,chrisjj,2026-04-03 19:42:47
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,102,64,nickslaughter02,2026-04-03 19:42:48
47573728,Intel Assured Supply Chain Product Brief,technology,21,1,aw-engineer,2026-04-03 19:42:48
47618189,Tailscale's new macOS home,technology,499,254,tosh,2026-04-03 19:42:49
47562455,The True Shape of Io's Steeple Mountain,technology,83,2,carlosjobim,2026-04-03 19:42:50
47618084,Cursor 3,others,473,349,adamfeldman,2026-04-03 19:42:50
47609356,Artemis II's toilet is a moon mission milestone,others,290,129,1659447091,2026-04-03 19:42:51
